Table 1 
All Milky Way Dwarf Galaxies and Candidates that Are Considered in This Paper, along with Relevant Positional, Structural, Radial Velocity, and Metallicity Parameters


Galaxy	R.A. (deg)	Decl. (deg)	${(m-M)}_{0}$	r_h (arcmin)	$e=1-b/a$	thetadeg	v_h (km s^-1)	sigma_v (km s^-1)	$\langle [\mathrm{Fe}/{\rm{H}}]\rangle $	
ComaBerenices	186.7458	23.9042	${18.2}_{-0.2}^{+0.2}$	${5.63}_{-0.3}^{+0.3}$	${0.37}_{-0.05}^{+0.05}$	$-{58.0}_{-4.0}^{+4.0}$	${98.1}_{-0.9}^{+0.9}$	${4.6}_{-0.8}^{+0.8}$	$-{2.6}_{-0.05}^{+0.05}$	
Crater2	177.31	-18.4131	${20.35}_{-0.02}^{+0.02}$	${31.2}_{-2.5}^{+2.5}$	cdots	cdots	${87.5}_{-0.4}^{+0.4}$	${2.7}_{-0.3}^{+0.3}$	$-{1.98}_{-0.1}^{+0.1}$	
DES J0225+0304	36.4267	3.0695	${16.88}_{-0.05}^{+0.06}$	${2.68}_{-0.7}^{+1.33}$	${0.61}_{-0.23}^{+0.14}$	${31.25}_{-13.39}^{+11.48}$	cdots	cdots	$-{1.26}_{-0.03}^{+0.03}$	
Draco	260.0517	57.9153	${19.4}_{-0.17}^{+0.17}$	${9.93}_{-0.09}^{+0.09}$	${0.3}_{-0.01}^{+0.01}$	${87.0}_{-1.0}^{+1.0}$	$-{291.0}_{-0.1}^{+0.1}$	${9.1}_{-1.2}^{+1.2}$	$-{1.93}_{-0.01}^{+0.01}$	
Draco2	238.1983	64.5653	${16.67}_{-0.05}^{+0.05}$	${3.0}_{-0.5}^{+0.7}$	${0.23}_{-0.15}^{+0.15}$	${76.0}_{-32.0}^{+22.0}$	$-{342.5}_{-1.2}^{+1.1}$	cdots	$-{2.7}_{-0.1}^{+0.1}$	
Eridanus2	56.0879	-43.5333	${22.9}_{-0.2}^{+0.2}$	${1.81}_{-0.17}^{+0.17}$	${0.37}_{-0.06}^{+0.06}$	${82.0}_{-7.0}^{+7.0}$	${75.6}_{-3.3}^{+3.3}$	${6.9}_{-0.9}^{+1.2}$	$-{2.38}_{-0.13}^{+0.13}$	
Eridanus3	35.6896	-52.2836	${19.7}_{-0.2}^{+0.2}$	${0.29}_{-0.23}^{+0.23}$	${0.32}_{-0.13}^{+0.13}$	${62.0}_{-11.0}^{+11.0}$	cdots	cdots	cdots	
Fornax	39.9971	-34.4492	${20.84}_{-0.18}^{+0.18}$	${18.4}_{-0.2}^{+0.2}$	${0.28}_{-0.01}^{+0.01}$	${46.0}_{-1.0}^{+1.0}$	${55.3}_{-0.1}^{+0.1}$	${11.7}_{-0.9}^{+0.9}$	$-{0.99}_{-0.01}^{+0.01}$	
Grus1	344.1767	-50.1633	${20.4}_{-0.2}^{+0.2}$	${2.08}_{-0.87}^{+0.87}$	${0.54}_{-0.26}^{+0.26}$	${11.0}_{-32.0}^{+32.0}$	$-{140.5}_{-1.6}^{+2.4}$	9.8	$-{1.42}_{-0.42}^{+0.55}$	
Grus2	331.02	-46.44	${18.62}_{-0.21}^{+0.21}$	${6.0}_{-0.5}^{+0.9}$	cdots	cdots	$-{110.0}_{-0.5}^{+0.5}$	cdots	$-{2.51}_{-0.11}^{+0.11}$	
Hercules	247.7583	12.7917	${20.6}_{-0.2}^{+0.2}$	${5.99}_{-0.58}^{+0.58}$	${0.69}_{-0.04}^{+0.04}$	$-{73.0}_{-2.0}^{+2.0}$	${45.2}_{-1.1}^{+1.1}$	${3.7}_{-0.9}^{+0.9}$	$-{2.41}_{-0.04}^{+0.04}$	
